Chemical ID,Chemical Name,CAS Number,Category,Quantity,Unit,Storage Location,Expiry Date,Hazard Level,Storage Condition,Status,Notes
CHEM001,Ethanol,64-17-5,Solvent/Flammable,500,mL,Cabinet A1,2027-12-31,Medium,Flammable Cabinet,Available,Keep away from open flames and sparks.
CHEM002,Hydrochloric Acid,7647-01-0,Acid/Corrosive,2.5,L,Cabinet B2,2028-06-15,High,Corrosive Cabinet,Available,Fuming acid. Handle under fume hood.
CHEM003,Sodium Hydroxide,1310-73-2,Base/Corrosive,1000,g,Shelf C1,2028-09-30,High,Corrosive Cabinet,Available,Hygroscopic pellets. Keep tightly closed.
CHEM004,Acetone,67-64-1,Solvent/Flammable,4,L,Cabinet A1,2027-11-20,Medium,Flammable Cabinet,Available,High volatility. Store in cool place.
CHEM005,Acetic Acid,64-19-7,Acid/Corrosive,1,L,Cabinet B3,2028-01-10,Medium,Corrosive Cabinet,Available,Glacial acetic acid. Freeze warning < 16°C.
CHEM006,Nitric Acid,7697-37-2,Oxidizer/Acid,500,mL,Cabinet B2,2026-05-18,High,Corrosive Cabinet,Expired,Strong oxidizer. Do not store near organic acids.
CHEM007,Sulfuric Acid,7664-93-9,Acid/Corrosive,2.5,L,Cabinet B2,2029-03-22,High,Corrosive Cabinet,Available,Highly corrosive. Reacts violently with water.
CHEM008,Methanol,67-56-1,Solvent/Toxic,1,L,Cabinet A2,2027-08-14,High,Flammable Cabinet,Available,Toxic by inhalation and ingestion.
CHEM009,Isopropanol,67-63-0,Solvent/Flammable,50,mL,Cabinet A1,2027-10-05,Medium,Flammable Cabinet,Low Stock,Standard laboratory solvent.
CHEM010,Hexane,110-54-3,Solvent/Flammable,2,L,Cabinet A2,2028-04-12,Medium,Flammable Cabinet,Available,Neurotoxin risk. Use under fume hood.
CHEM011,Toluene,108-88-3,Solvent/Flammable,1,L,Cabinet A2,2027-07-29,High,Flammable Cabinet,Available,Reproductive hazard. Keep well ventilated.
CHEM012,Dichloromethane,75-09-2,Solvent/Toxic,500,mL,Cabinet D1,2028-02-14,High,Room Temperature,Available,Volatile chlorinated solvent. Carcinogen risk.
CHEM013,Chloroform,67-66-3,Solvent/Toxic,250,mL,Cabinet D1,2026-03-01,High,Room Temperature,Expired,Light sensitive. Stabilized with ethanol.
CHEM014,Tetrahydrofuran,109-99-9,Solvent/Flammable,1,L,Cabinet A3,2027-05-10,High,Flammable Cabinet,Available,May form explosive peroxides. Test regularly.
CHEM015,Ethyl Acetate,141-78-6,Solvent/Flammable,2,L,Cabinet A1,2028-11-05,Medium,Flammable Cabinet,Available,Common extraction solvent.
CHEM016,Ammonia Solution,1336-21-6,Base/Corrosive,1,L,Cabinet B4,2027-09-19,Medium,Corrosive Cabinet,Available,Strong irritating odor. Store in ventilated area.
CHEM017,Phosphoric Acid,7664-38-2,Acid/Corrosive,500,mL,Cabinet B3,2028-12-15,Medium,Corrosive Cabinet,Available,Viscous liquid. Corrosive to metals.
CHEM018,Potassium Hydroxide,1310-58-3,Base/Corrosive,500,g,Shelf C1,2028-04-18,High,Corrosive Cabinet,Available,Hygroscopic. Deliquescent pellets.
CHEM019,Hydrogen Peroxide (30%),7722-84-1,Oxidizer/Corrosive,250,mL,Refrigerator 1,2026-02-28,High,Refrigerated,Expired,Vented cap. Store upright to prevent pressure build-up.
CHEM020,Sodium Carbonate,497-19-8,Salt/Irritant,1,kg,Shelf C2,2030-01-01,Low,Room Temperature,Available,Mild base. Used for neutralization.
CHEM021,Sodium Bicarbonate,144-55-8,Salt/None,5,kg,Shelf C2,2031-06-30,Low,Room Temperature,Available,Baking soda. Emergency spill neutralizer.
CHEM022,Calcium Chloride,10043-52-4,Salt/Irritant,500,g,Shelf C3,2029-10-14,Low,Room Temperature,Available,Desiccant. Keep container tightly sealed.
